ID,Bug Line,Explanation
16,1,Line 1 is incorrect. The buggy statement 'rdi.smartVec().vecEditMode(TA::VECD);' should be replaced with 'rdi.smartVec().vecEditMode(TA::VTT);'. 
32,"2,3,4,5,6","Line 2 is incorrect. The buggy statement 'rdi.port(""pt1"").dc().pin(""dig2"").vForce(1 uA).burst();' should be replaced with 'rdi.port(""pt1"").dc().pin(""dig"").vForce(1 V).execute();'.  Line 3 is incorrect. The buggy statement 'rdi.port(TA::MULTI_PORT).func().burst(""MPBurst2"").burst(); // n' should be replaced with 'rdi.port(TA::MULTI_PORT).func().burst(""MPBurst1"").execute(); // n'.  Line 4 is incorrect. The buggy statement 'rdi.port(""pt2"").digCap().pin(""dig1"").samples(8).execute();' should be replaced with 'rdi.port(""pt2"").digCap().pin(""dig2"").samples(8).execute();'.  Line 5 is incorrect. The buggy statement 'rdi.port(TA::MULTI_PORT).func().burst(""MPBurst1"").burst();' should be replaced with 'RDI_END();'.  Line 6 is incorrect. The buggy statement 'RDI_END();' should be replaced with ''. "
25,"1,5,7",Line 1 is incorrect. The buggy statement 'ARRAY_I write_data(2); // Define a variable for a dual-site test' should be replaced with 'ARRAY_I write_data(2);'.  Line 5 is incorrect. The buggy statement 'RDI_END();' should be replaced with 'RDI_BEGIN();'.  Line 7 is incorrect. The buggy statement 'RDI_BEGIN();' should be replaced with 'RDI_END();'. 
10,"2,4","Line 2 is incorrect. The buggy statement 'rdi.pmux(4).module(""02"").readHumanSeniority().execute();' should be replaced with 'rdi.pmux(4).module(""02"").readHumSensor().execute();'.  Line 4 is incorrect. The buggy statement 'int hum = rdi.id(4).getHumanSeniority(""02"");' should be replaced with 'int hum = rdi.id(4).getHumSensor (""02"");'. "
26,"4,5,6,7,8,9,10,11","Line 4 is incorrect. The buggy statement '.addWaveform(wav2)' should be replaced with '.addWaveform(wav2).addWaveform(wav3,2) // Add ""wav2"" once and'.  Line 5 is incorrect. The buggy statement '.addWaveform(wav3, 2)      // Add ""wav3"" twice' should be replaced with '.FS(250 kHz).execute();'.  Line 6 is incorrect. The buggy statement '.FS(250 /* kHz */).execute();' should be replaced with 'rdi.dc().pin(""Pin2"").vForce().waveform (wav1).repeat(2)'.  Line 7 is incorrect. The buggy statement 'rdi.dc().pin(""Pin2"").vForce().waveform(wav1).repeat(2)' should be replaced with '.addWaveform(wav2,3).iMeas() // Add ""wav2"" three times and me'.  Line 8 is incorrect. The buggy statement '.iMeas()' should be replaced with '.FS(250 kHz).execute();'.  Line 9 is incorrect. The buggy statement '.addWaveform(wav2, 3)      // Add ""wav2"" three times (group 2..4)' should be replaced with 'RDI_END();'.  Line 10 is incorrect. The buggy statement '.FS(250 /* kHz */).read();' should be replaced with ''.  Line 11 is incorrect. The buggy statement 'RDI_END();' should be replaced with ''. "
23,25,Line 25 is incorrect. The buggy statement 'rdi.burstUpload.smartVec().end();' should be replaced with 'rdi.smartVec().burstUpload().end();'. 
4,3,"Line 3 is incorrect. The buggy statement 'rdi.dc().pin(m_rMcd.sP_VS).vForce(31 V).vForceRange(30 V).iForceRange(50 mA).iClamp(50 mA, -50 mA)' should be replaced with 'rdi.dc().pin(m_rMcd.sP_VS).vForce(31 V).vForceRange(30 V).iForceRange(50 mA).iClamp(-50 mA, 50 mA)'. "
31,"2,4,5,6,7,9,11","Line 2 is incorrect. The buggy statement 'vec_port1.burst();' should be replaced with 'vec_port1.clear();'.  Line 4 is incorrect. The buggy statement 'vec_port2.push_back(""label7"");' should be replaced with 'vec_port1.push_back(""label7"");'.  Line 5 is incorrect. The buggy statement 'vec_port1.push_forward(""label25"");' should be replaced with 'vec_port1.push_back(""label25"");'.  Line 6 is incorrect. The buggy statement 'vec_port2.push_forward(""label31"");' should be replaced with 'vec_port1.push_back(""label31"");'.  Line 7 is incorrect. The buggy statement 'rdi.runTimeVal(""rt"",vec_port2); // The label to be patched into the' should be replaced with 'rdi.runTimeVal(""rt"",vec_port1); // The label to be patched into the'.  Line 9 is incorrect. The buggy statement 'rdi.port(""A"").func(""idd"").burstRunTime(""rt"",200).execute();' should be replaced with 'rdi.port(""A"").func(""id"").burstRunTime(""rt"",200).execute();'.  Line 11 is incorrect. The buggy statement 'ARRAY_I ary = rdi.id(""idd"").getMultiPassFail();' should be replaced with 'ARRAY_I ary = rdi.id(""id"").getMultiPassFail();'. "
17,8,"Line 8 is incorrect. The buggy statement 'int iffv = rdi.id(""a"").getFFC();' should be replaced with 'int iffv = rdi.id(""a"").getFFV();'. "
27,"2,5","Line 2 is incorrect. The buggy statement 'rdi.dc().pin(""DPS_1,DPS_2"").imeasRange(100 uA);' should be replaced with 'rdi.dc().pin(""DPS_1,DPS_2"").iMeasRange(100 uA);'.  Line 5 is incorrect. The buggy statement 'rdi.dc(""im1"").pin(""DPS_0,DPS_1"").imeas().write();' should be replaced with 'rdi.dc(""im1"").pin(""DPS_1,DPS_2"").iMeas().execute();'. "
24,"3,4","Line 3 is incorrect. The buggy statement 'rdi.digCap(""cap"").pin(""D0"").samples(100).initDiscard(10).interS;' should be replaced with 'rdi.digCap(""cap"").pin(""DO"").samples(100).initDiscard(10).interS'.  Line 4 is incorrect. The buggy statement 'RDI_END();' should be replaced with 'RDI_END( );'. "
14,7,"Line 7 is incorrect. The buggy statement 'double dVal = rdi.id(""a"").getAlarmValue();' should be replaced with 'double dVal = rdi.id(""a"").getAlarmValue(""AVI"");'. "
9,3,Line 3 is incorrect. The buggy statement 'rdi.cogo().end().end();' should be replaced with 'rdi.cogo().node().end();'. 
13,"3,4,5","Line 3 is incorrect. The buggy statement 'rdi.id(""cap"").getVesjkctor();' should be replaced with 'rdi.id(""cap"").getVector();'.  Line 4 is incorrect. The buggy statement 'rdi.id(""idd"").getVslkhalue();' should be replaced with 'rdi.id(""idd"").getValue();'.  Line 5 is incorrect. The buggy statement 'rdi.id(""dgr"").getWlkjnaveform();' should be replaced with 'rdi.id(""dgr"").getWaveform();'. "
22,3,"Line 3 is incorrect. The buggy statement '.module(""02"").readTempThresh(70)' should be replaced with '.module(""02"").readTempThresh()'. "
29,"4,5,6,7,8","Line 4 is incorrect. The buggy statement 'rdi.route().retrievePmuxPinStatus(""P0x01F1"");' should be replaced with 'RDI_END();'.  Line 5 is incorrect. The buggy statement 'rdi.route().retrievePmuxPinStatus(""P0x07F1"");' should be replaced with 'rdi.route().retrievePmuxPinStatus(""P0x01F1"");'.  Line 6 is incorrect. The buggy statement 'rdi.route().retrievePmuxPinStatus(""P0x08F1"");' should be replaced with '// Result on site 1 is {0}'.  Line 7 is incorrect. The buggy statement 'RDI_END();' should be replaced with 'rdi.route().retrievePmuxPinStatus(""P0x07F1"");'.  Line 8 is incorrect. The buggy statement '' should be replaced with '// Result on site 1 is {1,1}, for the Link pin'. "
2,3,"Line 3 is incorrect. The buggy statement 'rdi.dc().pin(m_rMcd.sP_VS).vForce(13.5 V).vForceRange(35 V).iForceRange(50 mA).iClamp(-50 mA, 50 mA)' should be replaced with 'rdi.dc().pin(m_rMcd.sP_VS).vForce(13.5 V).vForceRange(30 V).iForceRange(50 mA).iClamp(-50 mA, 50 mA)'. "
20,"1,5","Line 1 is incorrect. The buggy statement 'rdi.digCapBurstSiteUpload(false);' should be replaced with 'rdi.digCapBurstSiteUpload(true);'.  Line 5 is incorrect. The buggy statement '.pin(""DATA1"").samples(9216)' should be replaced with '.pin(""DATA1"").samples(8192)'. "
11,"2,3","Line 2 is incorrect. The buggy statement 'rdi.dc().pin(""dig1"").vForce(1).iMeans().iRange(2 mAh).execute(); //' should be replaced with 'rdi.dc().pin(""dig1"").vForce(1).iMeas().iRange(2 mA).execute(); //'.  Line 3 is incorrect. The buggy statement 'rdi.dc().pin(""dig2"").iForce(1 uA).vMeans().execute(); // average =' should be replaced with 'rdi.dc().pin(""dig2"").iForce(1 uA).vMeas().execute(); // average ='. "
3,4,"Line 4 is incorrect. The buggy statement 'rdi.dc().pin(m_rMcd.sP_VS).vForce(31 V).vForceRange(30 V).iForceRange(50 mA).iClamp(-50 mA, 50 mA)' should be replaced with 'rdi.dc().pin(m_rMcd.sP_VS).vForce(30 V).vForceRange(30 V).iForceRange(50 mA).iClamp(-50 mA, 50 mA)'. "
